time(s),position(m),velocity(m/s),acceleration(m/s^2)
3.18,-0.048972,0.71067,-0.123006
3.19,-0.0418729,0.709021,-0.206547
3.2,-0.0347944,0.706543,-0.28901
3.21,-0.0277447,0.703245,-0.370308
3.22,-0.0207322,0.699141,-0.450355
3.23,-0.0137646,0.694242,-0.529067
3.24,-0.00684991,0.688564,-0.606365
3.25,4.14646e-006,0.68212,-0.68217
3.26,0.00678999,0.674926,-0.756406
3.27,0.0135002,0.666997,-0.829
3.28,0.0201276,0.658352,-0.899882
3.29,0.0266649,0.649006,-0.968985
3.3,0.0331054,0.638978,-1.03624
3.31,0.0394423,0.628287,-1.10159
3.32,0.045669,0.616953,-1.16498
3.33,0.0517792,0.604994,-1.22635
3.34,0.0577669,0.592433,-1.28564
3.35,0.0636259,0.579289,-1.3428
3.36,0.0693508,0.565584,-1.39779
3.37,0.0749358,0.55134,-1.45057
3.38,0.0803759,0.53658,-1.50109
3.39,0.0856658,0.521326,-1.54932
3.4,0.0908008,0.505601,-1.59521
3.41,0.0957763,0.48943,-1.63875
3.42,0.100588,0.472835,-1.67989
3.43,0.105232,0.45584,-1.71862
3.44,0.109704,0.43847,-1.75491
3.45,0.114,0.42075,-1.78875
3.46,0.118117,0.402704,-1.82011
3.47,0.122053,0.384356,-1.84899
3.48,0.125804,0.365732,-1.87538
3.49,0.129367,0.346857,-1.89926
3.5,0.13274,0.327755,-1.92064
3.51,0.135921,0.308452,-1.93951
3.52,0.138908,0.288973,-1.95588
3.53,0.1417,0.269343,-1.96975
3.54,0.144295,0.249587,-1.98113
3.55,0.146692,0.229729,-1.99003
3.56,0.148889,0.209794,-1.99647
3.57,0.150887,0.189808,-2.00046
3.58,0.152685,0.169793,-2.00202
3.59,0.154283,0.149775,-2.00117
3.6,0.155681,0.129778,-1.99795
3.61,0.156879,0.109824,-1.99237
3.62,0.157878,0.0899382,-1.98447
3.63,0.158678,0.0701426,-1.97428
3.64,0.159281,0.0504602,-1.96183
3.65,0.159688,0.0309134,-1.94716
3.66,0.1599,0.0115242,-1.93032
3.67,0.159919,-0.00768588,-1.91134
3.68,0.159747,-0.0266956,-1.89026
3.69,0.159385,-0.0454843,-1.86714
3.7,0.158838,-0.0640318,-1.84202
3.71,0.158106,-0.0823182,-1.81495
3.72,0.157192,-0.100324,-1.78598
3.73,0.1561,-0.118032,-1.75517
3.74,0.154833,-0.135422,-1.72257
3.75,0.153393,-0.152477,-1.68824
3.76,0.151784,-0.169181,-1.65223
3.77,0.150011,-0.185517,-1.61461
3.78,0.148075,-0.201468,-1.57544
3.79,0.145982,-0.21702,-1.53477
3.8,0.143736,-0.232159,-1.49268
3.81,0.141341,-0.246869,-1.44922
3.82,0.1388,-0.261139,-1.40447
3.83,0.136119,-0.274955,-1.35848
3.84,0.133303,-0.288304,-1.31133
3.85,0.130355,-0.301177,-1.26308
3.86,0.127281,-0.313563,-1.21381
3.87,0.124085,-0.32545,-1.16357
3.88,0.120774,-0.336831,-1.11245
3.89,0.11735,-0.347697,-1.06051
3.9,0.113821,-0.358039,-1.00782
3.91,0.110191,-0.367851,-0.954447
3.92,0.106466,-0.377126,-0.900468
3.93,0.102651,-0.385858,-0.845951
3.94,0.0987508,-0.394043,-0.790966
3.95,0.0947717,-0.401676,-0.735584
3.96,0.0907191,-0.408754,-0.679875
3.97,0.0865985,-0.415273,-0.623909
3.98,0.0824155,-0.421231,-0.567755
3.99,0.0781758,-0.426628,-0.511481
4,0.0738848,-0.431461,-0.455157
4.01,0.0695484,-0.435731,-0.39885
4.02,0.0651721,-0.439438,-0.342627
4.03,0.0607615,-0.442584,-0.286554
4.04,0.0563223,-0.44517,-0.230697
4.05,0.05186,-0.447199,-0.175121
4.06,0.0473802,-0.448674,-0.119888
4.07,0.0428883,-0.449598,-0.0650622
4.08,0.03839,-0.449976,-0.0107039
4.09,0.0338906,-0.449814,0.0431263
4.1,0.0293955,-0.449116,0.0963694
4.11,0.0249101,-0.447889,0.148968
4.12,0.0204395,-0.446139,0.200865
4.13,0.015989,-0.443874,0.252006
4.14,0.0115637,-0.441101,0.302337
4.15,0.00716865,-0.43783,0.351806
4.16,0.00280876,-0.434068,0.400363
4.17,-0.00151111,-0.429826,0.447959
4.18,-0.00578619,-0.425112,0.494547
4.19,-0.0100118,-0.419938,0.54008
4.2,-0.0141835,-0.414314,0.584516
4.21,-0.0182967,-0.408252,0.627812
4.22,-0.0223471,-0.401762,0.669927
4.23,-0.0263305,-0.394857,0.710824
4.24,-0.0302429,-0.38755,0.750464
4.25,-0.0340802,-0.379852,0.788815
4.26,-0.0378387,-0.371778,0.825842
4.27,-0.0415146,-0.36334,0.861515
4.28,-0.0451043,-0.354552,0.895804
4.29,-0.0486045,-0.345429,0.928683
4.3,-0.0520118,-0.335983,0.960125
4.31,-0.0553231,-0.326231,0.990109
4.32,-0.0585355,-0.316186,1.01861
4.33,-0.0616459,-0.305864,1.04562
4.34,-0.0646519,-0.295279,1.0711
4.35,-0.0675507,-0.284447,1.09506
4.36,-0.07034,-0.273383,1.11746
4.37,-0.0730176,-0.262103,1.13831
4.38,-0.0755814,-0.250622,1.1576
4.39,-0.0780295,-0.238956,1.17531
4.4,-0.08036,-0.227121,1.19144
4.41,-0.0825714,-0.215133,1.20599
4.42,-0.0846622,-0.203007,1.21895
4.43,-0.0866311,-0.190759,1.23033
4.44,-0.088477,-0.178405,1.24013
4.45,-0.0901989,-0.165961,1.24835
4.46,-0.091796,-0.153443,1.255
4.47,-0.0932676,-0.140867,1.26008
4.48,-0.0946132,-0.128247,1.26361
4.49,-0.0958324,-0.1156,1.26559
4.5,-0.0969251,-0.10294,1.26604
4.51,-0.0978912,-0.0902841,1.26498
4.52,-0.0987309,-0.0776459,1.26242
4.53,-0.0994443,-0.0650407,1.25837
4.54,-0.100032,-0.0524833,1.25287
4.55,-0.100494,-0.0399882,1.24592
4.56,-0.100832,-0.0275697,1.23755
4.57,-0.101046,-0.0152418,1.22779
4.58,-0.101137,-0.00301839,1.21666
4.59,-0.101107,0.00908699,1.20419
4.6,-0.100956,0.0210611,1.19041
4.61,-0.100686,0.0328909,1.17534
4.62,-0.100298,0.0445637,1.15902
4.63,-0.0997951,0.0560671,1.14147
4.64,-0.0991777,0.0673892,1.12274
4.65,-0.098448,0.0785182,1.10286
4.66,-0.097608,0.0894426,1.08185
4.67,-0.0966599,0.100152,1.05977
4.68,-0.0956057,0.110634,1.03663
4.69,-0.094448,0.120881,1.01249
4.7,-0.0931889,0.130881,0.987386
4.71,-0.0918312,0.140626,0.961349
4.72,-0.0903773,0.150105,0.934423
4.73,-0.08883,0.159311,0.906649
4.74,-0.087192,0.168235,0.878069
4.75,-0.0854663,0.17687,0.848725
4.76,-0.0836556,0.185208,0.81866
4.77,-0.0817631,0.193241,0.787916
4.78,-0.0797918,0.200964,0.756538
4.79,-0.0777449,0.20837,0.724569
4.8,-0.0756255,0.215453,0.692053
4.81,-0.0734369,0.222209,0.659034
